title,description,country,year,genres,show_url,image_url
Нация Z,"Спустя три года после того, как вирус зомби распространился и выпотрошил всю страну, команда героев должна перевезти единственного известного оставшегося в живых от действия чумы из Нью-Йорка в Калифорнию, где последняя функционирующая вирусная лаборатория ждет его крови. Хотя антитела, которые он несет, являются последней надеждой мира получить вакцину, он скрывает мрачную тайну, которая угрожает им всем. Выживание человечества под угрозой, когда разношерстная группа предпринимает путешествие длиной в пять тысяч километров по опустошенной, постапокалиптической Америке.",США,2014,"Боевик, Ужасы, Фантастика",https://myshows.me/view/37893/,https://media.myshows.me/shows/760/7/31/731f6c138f65f73b2dda1c116672c0b2.jpg
Котопес,"«КотоПёс» рассказывает о забавных невзгодах уникального создания с двумя головами на разных концах туловища. КотоПес  это странный гибрид кошки и собаки, живущий в абсурдном, загадочном мире, наполненном удивительными персонажами, парадоксальными событиями и безумными приключениями. Кот и Пёс  верные друзья, невзирая на их противоположные привычки. Все кошки  чистюли. Собаки же  разгильдяи и грязнули. Кошки привередливы. Собаки едят всё подряд. Кошки обожают понежиться на солнышке. Собаки, увидев лужу, спешат в нее залезть. Кот и Пёс любят друг друга, но, несмотря на это, полетят клочки по закоулочкам!",США,1998,"Детский, Комедия",https://myshows.me/view/593/,https://media.myshows.me/shows/760/a/33/a33155701faf30d0e998edb7dee714b9.jpg
Новая Битва экстрасенсов,"«Битва экстрасенсов» на канале ТНТ доказывает: сверхъестественные способности существуют, а их обладатели могут спасти жизнь, найти пропавшего ребенка, рассказать о прошлом и будущем и просто вернуть потерянный телефон.",Россия,2007,"Ужасы, Детектив, Таланты",https://myshows.me/view/16718/,https://media.myshows.me/shows/760/f/ea/fead1208be63c56184e0265e64b5d327.jpg
Черный Плащ,"Мультсериал, повествующий о приключениях загадочного супергероя-селезня по прозвищу Чёрный Плащ, который ведет борьбу со злодеями, представляющими смертельную угрозу для города Сен-Канар. В этом нелёгком деле ему помогают горе-пилот и механик Зигзаг МакКряк и непоседливая Гусёна.",США,1991,"Комедия, Детский, Мультфильмы",https://myshows.me/view/81/,https://media.myshows.me/shows/760/3/bd/3bd39cc6f7af17474237b88f80c932a8.jpg
Роковой патруль,"Роковой патруль — команда супергероев, способности которых скорее проклятие, чем благодать. Клиф Стилл закован в тяжелую броню и не способен на телесный контакт; Джейн страдает диссоциативным расстройством: в ней живёт 64 личности; Рита Фарр — красотка, но всякий раз, когда испытывает стресс, она превращается в бесформенную жижу. Ларри Трейнор — бывший пилот, в котором живёт необузданная энергия, способная разрушить окружающий мир. Роковым патрулём руководит Найлз Колдер, который собрал всех этих людей, пытаясь помочь им контролировать силы и жить в обществе. Однажды Колдер исчезает, и команда героев отправляется на его поиски, попутно переживая многочисленные внутренние конфликты. Подробности сериала «Роковой патруль» В основу шоу легли комиксы издательства DC. События «Рокового патруля» развиваются в отдельной вселенной, однако некоторые герои встречаются в другом сериале DC Universe — « Титанах ».",США,2019,"Боевик, Драма, Фантастика",https://myshows.me/view/58584/,https://media.myshows.me/shows/760/2/3e/23e6f6345ea63faa568c57dc3a56f389.jpg
Ковбой Бибоп,"Джет Блэк, бывший полицейский, и Спайк Шпигель, человек с тёмным прошлым, совершенно не планировали увеличивать экипаж космического корабля Бибоп, являющегося для них домом и средством передвижения. Но сети, раскинутые для поимки дорогостоящих отбросов общества, принесли им Фэй Валентайн  очаровательную картёжницу с колоссальным долгом, Эд  потерявшуюся компьютерную умницу и Эйн  предположительно, самую умную собаку на свете. Именно в таком составе экипаж Бибопа и продолжает своё дело  охоту за головами. Их приключения носят комичный, философский, а подчас и трагичный характер",Япония,1998,"Фантастика, Боевик, Приключения, Аниме",https://myshows.me/view/792/,https://media.myshows.me/shows/760/2/0e/20efed08ca7a6f0e5dc5b6235f092569.jpg
Дневник будущего,"Амано Юкитэру  типичный изгой, одиночка. Все свое время он  безучастный наблюдатель, делающий записи в мобильном дневнике об окружающих событиях. Единственного постоянного собеседника, бога пространства и времени Деуса, Юки считает плодом своей фантазии. Однако всё меняется, когда Деус наделяет Юки, а точнее его дневник, вполне реальным свойством показывать события ближайшего будущего. Казалось бы живи да радуйся, однако подарок оказывается с подвохом,  парень узнаёт, что подобными дневниками владеют ещё одиннадцать человек, и все вместе они являются участниками жестокой игры, выжить в которой суждено лишь одному из них.",Япония,2011,"Боевик, Аниме, Сверхъестественное, Триллер",https://myshows.me/view/20993/,https://media.myshows.me/shows/760/2/d6/2d697e49ba4ccffaa09fbb13e693ed1e.jpg
Аладдин,"Красочный и добрый мультсериал о приключениях Аладдина, Жасмин, попугая Яго и мартышки Абу. И какие же арабские сказки без волшебства? И в этой тоже есть  Джинн! Он весел, всемогущ и просто неотразим. С ним не соскучишься, но он тоже попадает в переделки, ведь всегда есть кто-то более могучий. Красивый сериал от Диснея с большим количеством юмора.",США,1994,"Детский, Мультфильмы",https://myshows.me/view/590/,https://media.myshows.me/shows/760/b/85/b854676f42a87bb5020c757725348bee.jpg
Каштановый человечек,"Экранизация одноименного романа Сорена Свейструпа. На месте страшного убийства находят куколку из каштанов. По этой жутковатой улике два детектива пытаются разыскать убийцу, причастного к пропаже ребенка политика.",Дания,2021,"Драма, Детектив, Триллер",https://myshows.me/view/73875/,https://media.myshows.me/shows/760/b/3f/b3f94fa8e447ce35717bd4bf53b5add0.jpg
Убийца Акаме!,"Мечник Тацуми, простой парнишка из сельской местности отправляется в Столицу чтобы заработать денег для своей голодающей деревни. А добравшись туда вскоре узнает, что великая и красивая Столица это лишь видимость. Город погряз в коррупции, жестокости и беззаконии которые идут от премьер министра, что правит страной из-за кулис. Но как всем известно  «Один в поле не воин» и ничего тут не поделаешь, особенно когда твой враг глава государства или точнее тот, кто им прикрывается. Найдет ли Тацуми себе единомышленников и сможет-ли что-то изменить?",Япония,2014,"Боевик, Фэнтези, Аниме",https://myshows.me/view/38030/,https://media.myshows.me/shows/760/2/db/2db6cb559e6df6af2870aa93ff4603fc.jpg
Приключения Джеки Чана,"Образ анимационного персонажа Джеки объединил в себе черты сразу двух известных героев: прославленного археолога Индианы Джонса и всемирно известного актёра  Джеки Чана. Как и его прототип, Джеки путешествует по миру в поисках древностей, многие из которых обнаруживают в себе магические свойства. Кроме того, мультяшный Джеки как две капли воды похож на киноактёра, любимца и детей и взрослых  Джеки Чана. Подобно герою боевиков Джеки Чану, рисованный Джеки виртуозно владеет восточными единоборствами, он стремительный, неуловимый, он борется со злом во всех его проявлениях.",США,2000,"Боевик, Приключения, Детский, Комедия, Фэнтези",https://myshows.me/view/1742/,https://media.myshows.me/shows/760/d/fc/dfc570f01233ddf8a02e9221ad9d56e0.jpg
Юри на льду,"После разгромного поражения на Гран При 23-летний мастер фигурного катания Юри Катцуки разочаровывается в призвании и на время забрасывает карьеру. Он возвращается в родной город Хасецу, где на местном катке встречает подругу детства Юко, с которой они тренировались в юности. Вместе они разыгрывают выступление и привлекают внимание русского фигуриста Виктора Никифорова, который хочет тренировать Юри. В Хасецу следом приезжает молодой талант Юрий Плисецкий, чтобы напомнить Никифорову об обещании быть его тренером. Перед Виктором стоит выбор: кого из фигуристов он возьмёт в ученики? Два Юрия на льду должны раскрыть весь свой потенциал, чтобы показать, кого из них ждёт легендарная карьера. Подробности сериала «Юрий на льду» Производством занималась студия MAPPA, также ответственная за аниме « Аполлон: Дети на холме » и « Эхо Террора ». Режиссёром «Юри на льду» выступил Саё Ямамото, автор сериала « Митико и Хаттин ». В стриминговом сервисе для аниме Chrunchyroll «Юри на льду» стал одним из самых популярных тайтлов за 2017 год, уступив лишь « Сейлор Мун: Кристалл » и « Приключениям ДжоДжо ». За время показа в эфире сериал заработал 30 миллионов долларов — это самый высокий результат сезона, за исключением франшизы « Ван Пис ».",Япония,2016,"Аниме, Драма, Спортивный",https://myshows.me/view/50633/,https://media.myshows.me/shows/760/f/93/f934b5fa9ce98f475b3df596a0011efe.jpg
И просто так…,"Продолжение сериала Секс в большом городе . Кэрри Брэдшоу и ее верные подруги Шарлотта и Миранда делятся радостями и трудностями жизни современных городских женщин предпенсионного возраста. Как оказалось, работать, любить, дружить и искать свое место в жизни в 50 лет гораздо сложнее, чем в 30.",США,2021,"Комедия, Драма, Романтика",https://myshows.me/view/73511/,https://media.myshows.me/shows/760/c/83/c8342164c5da0333781b14c3bb465ca1.jpg
Быть человеком,"Ремейк одноименного британского сериала . Вампир Эйден и оборотень Джош переезжают в новый дом, чтобы попытаться жить нормальной жизнью. Но они не подозревают, что у них появится еще один сверхъестественный сосед — призрак по имени Салли.",США,2011,"Драма, Ужасы, Романтика",https://myshows.me/view/12342/,https://media.myshows.me/shows/760/7/af/7af81085bb5c523c983a90415d2e90be.jpg
Крутой учитель Онидзука,"Однажды утром в небольшой сельский городок Хоробонай, что находится на острове Хоккайдо, на мотоцикле въезжает новый нештатный учитель Онидзука. Руководство местной средней школы сразу же назначает его классным руководителем в самом проблемном классе. Используя свой богатый жизненный опыт и нетрадиционные методы преподавания, Онидзука завоевывает доверие ребят, становится для них героем и. головной болью для руководства школы. «GTO» рассказывает историю Эйкити Онидзуки, бывшего байкера и бродяги, мечтавшего стать Великим школьным учителем. Имея за плечами уникальный опыт, прошедший школу уличных драк, он никогда не отмахивался от проблем своих учеников, обучая их не только грамоте, но и человеческому общению.",Япония,1999,"Аниме, Комедия, Драма",https://myshows.me/view/735/,https://media.myshows.me/shows/760/e/19/e195895e45935651d56eec7a8b30b1c0.jpg
Скорпион,"Сюжет основан на реальных событиях. Это история об эксцентричном гении и его группе вундеркиндов. Они являются аналитическим центром, работающим на службу национальной безопасности, и их задача  разбираться со сложными угрозами современности.",США,2014,"Драма, Триллер, Боевик",https://myshows.me/view/37805/,https://media.myshows.me/shows/760/e/25/e25c38c443ab33bb6e65830f1ef84851.jpg
Грешники,"Фредди и Стюарт  пара пожилых геев, которые живут вместе не первый десяток лет, постоянно препираясь друг с другом. Их размеренная жизнь переворачивается с ног на голову, когда в квартиру сверху заселяется молодой парень Эш.",Великобритания,2013,Комедия,https://myshows.me/view/31473/,https://media.myshows.me/shows/760/a/7f/a7f4efb51de3885b72c7215865d6ce1c.jpg
Основание,Экранизация одноименной серии книг Айзека Азимова. Кучку изгнанников отправляют в грандиозное путешествие ради спасения человечества и восстановления цивилизации после грядущего падения Галактической Империи.,США,2021,"Драма, Фантастика",https://myshows.me/view/67687/,https://media.myshows.me/shows/760/3/30/330aa2e529758e82be7b7f32f0a89249.jpg
Мистер Бин,"Мистер Бин  личность выдающаяся по количеству глупейших ситуаций, в которых он оказывается, и по оригинальности методов, с помощью которых он из этих ситуаций выкручивается. Идет ли он в библиотеку, сдает ли экзамены, собирается ли пообедать или прыгнуть с вышки в бассейне, заезжает ли он на автостоянку или раздевается на пляже  редко кто сделает это так смешно и остроумно, как мистер Бин.",Великобритания,1990,"Комедия, Семейный",https://myshows.me/view/587/,https://media.myshows.me/shows/760/1/6f/16ff29c352188324dc0dfaba2dc386fb.jpg
Деффчонки,"Героини «Деффчонок»  четыре подруги: мечтательная неудачница Маша, ее 16-летняя сестра Василиса, очкастый офисный планктон Катя и профессиональная блондинка Леля. Каждая хочет от жизни своего: успешной карьеры, правильного замужества, вселенской популярностиСпособов стать счастливой миллион! Одна беда  в жизни все гораздо сложнее, чем в мечтах. Если ты попала на прослушивание к крутому продюсеру, это еще не значит, что тебя сделают звездой. Если заклеила депутата с Рублевки  далеко не факт, что он не слиняет от тебя в Лондон. Бурные ночи с поп-идолом еще не дают гарантии, что он захочет на тебе жениться. А когда ты влюбляешься в начальника, будь готова к тому, что он начнет играть твоими чувствами ради бизнеса. Сложность еще и в том, что подруги снимают одну на всех квартиру. Ведь все они приехали из Саратова, и родственников в столице у них нет. Жить вчетвером в одном шалаше  вот настоящая беда, в которой познаются друзья. Или это счастье, а не беда вовсе? Ответ на этот и еще 999 вопросов предстоит найти нашим героиням.",Россия,2012,Комедия,https://myshows.me/view/24740/,https://media.myshows.me/shows/760/2/45/2459caf4e93c0fbd0f5aa0a25910b5f4.jpg
Квантовый скачок,"1995 год. Разработав теорию о том, что человек может путешествовать во времени в пределах продолжительности собственной жизни, доктор Сэм Беккет на базе в пустынях Нью-Мехико возглавил сверхсекретный проект, названный «Квантовый Скачок». Оказавшись перед необходимостью подтвердить свою теорию или потерять финансирование, доктор Беккет шагнул в квантовый ускоритель и исчез. Проснувшись, он понимает, что попал в западню прошлого. Доктор Беккет принимает облики других людей, пытаясь исправить то, что когда-то было сделано не так. Единственной связью с реальным временем остается Эл — адмирал Альберт Калавичи, друг Сэма, работавший вместе с ним над проектом. В прошлом он появляется в виде голограммы, которую может видеть и слышать только доктор Беккет, животные, маленькие дети и сумасшедшие. Так начинается путешествие Сэмюэла Беккета во времени. Он проживает множество чужих жизней, пытаясь исправить ошибки прошлого. И всякий раз надеется, что следующий квантовый скачок вернет его обратно домой. Продолжение сериала − ‎Квантовый скачок .",США,1989,"Боевик, Драма, Фантастика",https://myshows.me/view/60/,https://media.myshows.me/shows/760/2/99/299d2d277e1e3e558b246240c30db723.jpg
Девчонки,"Комедия рассказывает о нескольких девушках двадцатилетнего возраста, которым приходится испытывать унижения и лишь изредка знавать вкус победы.",США,2012,"Романтика, Драма",https://myshows.me/view/23144/,https://media.myshows.me/shows/760/1/57/15741b2e9f87430a6311b6077b4c3108.jpg
Невероятное,"История девушки-подростка Мари, чьи заявления о том, что она была изнасилована, признаны ложными. Две женщины-детектива берутся расследовать это дело, подозревая, что речь может идти о серийном насильнике.   Основа сериала — статья «An Unbelievable Story of Rape» авторов Т. Кристиана Миллера и Кена Армстронга и эпизод «Anatomy of Doubt» еженедельной радиопрограммы «This American Life».",США,2019,"Криминал, Драма, Триллер",https://myshows.me/view/62847/,https://media.myshows.me/shows/760/f/7e/f7e21b33e06ae0badd89e398eebccef8.jpg
Ты — воплощение порока,"История о том, как два совершенно порочных человека влюбляются и пытаются совершить невозможное — построить отношения.",США,2014,"Комедия, Драма, Романтика",https://myshows.me/view/37476/,https://media.myshows.me/shows/760/2/73/273e2e738385efcf8ba60bd9510a317e.jpg
Бриклберри,"Мультсериал о группе лесников-раздолбаев, столкнувшихся с закрытием национального парка. На помощь рейнджерам приходит новенький, чья цель  преобразить и сохранить заповедник.",США,2012,Комедия,https://myshows.me/view/25537/,https://media.myshows.me/shows/760/8/e1/8e1151f50491ea8fb3380760b309161e.jpg
Гоблин,"Токкэби мечтает избавиться от своего бессмертия и обрести покой. Его мучают воспоминания о первой человеческой жизни тысячу лет назад, о несчастливой судьбе: долг, верность, сражения, власть, предательство, реки крови, смерть родных людей, его смерть от собственного меча и проклятие, положившее начало бесконечному одиночеству во времени и пространстве. Чтобы снять проклятие, токкэби нужна невеста из простых смертных, девушка с особенным даром. Он в вечном поиске и разочаровании.
Жнец смерти — пунктуальный трудоголик, одержимый незавершенной миссией найти потерявшуюся много лет назад душу, а, если быть точнее, человека не пожелавшего умирать.
По воле случая две мощные силы, токкэби и жнец, оказываются под одной крышей, теперь они соседи, которые не переваривают друг друга. Когда выясняется, что предмет их поиска — одна и та же девушка, события принимают еще более непредсказуемый оборот.",Южная Корея,2016,"Драма, Фэнтези, Романтика",https://myshows.me/view/51276/,https://media.myshows.me/shows/760/a/da/adae3cdaa6f3d9295d4bc959ec518a52.jpg
Тёмная материя,"Группа из шести незнакомцев просыпается в стазисных капсулах на борту звездолета Раза. У каждого — амнезия, никто не помнит, кто они такие и как жили до пробуждения. Поэтому для удобства герои «Тёмной материи» начинают называть друг друга в том порядке, что проснулись — Первый, Второй и так далее. Они стабилизируют корабль и приступают к попыткам раскрыть тайны своих личностей и того, что с ними случилось. Подробности сериала «Тёмная материя» Научно-фантастический сериал был основан на комиксе «Тёмная материя» Джозефа Малоззи и Пола Малли. Космоопера «Тёмная материя» получила хорошие рецензии: на сайте-агрегаторе Rotten Tomatoes у сериала 89% свежести от критиков и 90% — от зрителей.",Канада,2015,"Боевик, Приключения, Фантастика",https://myshows.me/view/42772/,https://media.myshows.me/shows/760/c/2a/c2acf5cea386de058e00bbe761d19ded.jpg
Части тела,"Шон МакНамара и Кристиан Трой  два талантливых пластических хирурга, которые делают красивых женщин безупречными в собственной частной клинике, расположенной в Майами. Операции стоят невероятно дорого, и клиентки бывают готовы на всё, чтобы задержать ускользающую красоту или её приумножить. Шон и Кристиан не только партнёры в одном бизнесе, но и друзья. Однако между ними часто возникают разногласия из-за разного отношения к жизни, к своему делу и к женщинам. Шон, более серьезный, старается полностью погрузиться в работу, чтобы отвлечься от проблем с женой и сыном-тинэйджером. Клятва Гиппократа не пустые слова для Шона, он работает самоотверженно, даже готов делать бесплатные операции жертвам пожаров и действительно нуждающимся. Эти благородные порывы Шона не находят отклика в сердце Кристиана, работающего исключительно ради денег и возможности завести интрижку с очередной пациенткой. Доллары, дамы и вино  вот что нужно Кристиану, и он пойдёт на всё, чтобы заполучить желаемое: на ложь, на обман, на измену, на шантаж и даже на убийство! Судьба готовит двум друзьям множество сюрпризов, встреч, неожиданных поворотов и открытий! Из-за забастовки сценаристов, съёмки второй части 5 сезона были отложены, а позднее возобновлены — премьера новых серий состоялась на другом канале. Из-за этой неразберихи многие авторитетные ресурсы указывают 7 сезонов в сериале, хотя на самом деле в шоу 6 сезонов, где пятый сезон состоит из двух частей. Неточности прекратились, когда сериал вышел полностью на лицензионном DVD, где 5 сезон состоял из двух бокс-сетов, а на обложке шестого сезона было заявлено The Sixth & Final Season — Шестой и последний сезон",США,2003,"Драма, Медицинский",https://myshows.me/view/312/,https://media.myshows.me/shows/760/2/dc/2dcaa9e3360be19d279e285c9623d15c.jpg
Поколение «Ви»,"Спин-офф сериала ‎Пацаны . Сериал рассказывает о специальном колледже компании Vought, в котором обучаются молодые супергерои. Ученики из кожи вон лезут, доводя до предела свои физические и моральные силы, в надежде попасть на вершину рейтинга школы. Но, когда всплывают темные тайны колледжа, студентам приходится решить, какими героями они хотят стать.",США,2023,"Боевик, Фантастика",https://myshows.me/view/79726/,https://media.myshows.me/shows/760/7/5b/75b4c14f08149ed5875a580a8abbedd1.jpg
Фальсификация,"Карма и Эми  лучшие подруги, которые помешаны на становлении своей популярности. Когда их по ошибке признают лесбиянками на вечеринке, девушки тут же становятся популярными в своей школе. Подруги решают притвориться парой, даже не смотря на что им обеим нравятся парни.",США,2014,"Комедия, Романтика",https://myshows.me/view/35564/,https://media.myshows.me/shows/760/8/9b/89be90cb17e8ff8a9577018d7779d790.jpg
Мир! Дружба! Жвачка!,"1993 год. 14-летний Санька Рябинин живет обычной подростковой жизнью — ищет приключений, пытается защититься от районных хулиганов, не хочет ходить в музыкалку, не знает, как общаться с девчонками и с кого из взрослых брать пример.   С одной стороны — честная, но бедная семья с мамой-продавщицей и папой-доцентом, с другой — опасный мир афганского ветерана дяди Алика. А тут еще и девочка Женя, знакомство с которой запускает череду необратимых событий, которые навсегда изменят жизнь Саньки, его семьи и друзей Вовки и Илюши.",Россия,2020,"Комедия, Драма",https://myshows.me/view/66461/,https://media.myshows.me/shows/760/5/2d/52dfb8d9078db260cd96f3a923461931.jpg
